id_produto;composto;porcao;valorDiario;
1;Carboidratos;10g;3;
1;Açúcares****;4,4g;**;
1;Proteínas;10g;13;
1;Gorduras totais;4g;7;
1;Gorduras saturadas;2,4g;11;
1;Gorduras trans;0g;**;
1;Fibra alimentar;1,1g;4;
1;Sódio;69mg;3;
1;Cálcio;219mg;22;
1;Ferro;2,3mg;16;
1;Fósforo;135mg;19;
1;Magnésio;22mg;8;
1;Manganês;0,26mg;11;
1;Cobre;186µg;28;
1;Selênio;17µg;50;
1;Zinco;1,9mg;27;
1;Vitamina A;179µ RE;30;
1;Vitamina D;2,4µg;48;
1;Vitamina E;3,0 mg - TE;30;
1;Vitamina K;19µg;29;
1;Vitamina C;15mg;33;
1;Vitamina B1;0,43mg;36;
1;Vitamina B2;0,21mg;16;
1;Niacina;1,3mg;8;
1;Vitamina B6;0,35mg;27;
1;Vitamina B12;1,0 µg;42;
1;Ácido fólico;37µg;15;
1;Ácido Pantotênico;1,0mg;20;
1;Biotina;8,3µg;28;
2;Carboidratos;54g;18;
2;Proteínas;22g;29;
2;Gorduras totais;14g;25;
2;Gorduras saturadas;3,4g;15;
2;Gorduras trans;0g;**;
2;Fibra alimentar;3,5g;15;
2;Sódio;314mg;13;
2;Potássio;693mg;**;
2;Cálcio;519mg;52;
2;Fósforo;281mg;40;
2;Magnésio;74mg;28;
2;Selênio;26μg;76;
2;Ferro;7,0mg;50;
2;Vitamina C;44mg;98;
2;Zinco;5,2mg;74;
2;Cobre;754μg;84;
2;Manganês;1,3mg;57;
2;Flúor;0,45mg;11;
2;Molibdênio;44μg;98;
2;Cloro;392mg;**;
2;Cromo;20μg;57;
2;Iodo;56μg;43%;
2;Vitamina A;419μg;70;
2;Vitamina D;6,5μg;130;
2;Vitamina E;5,2mg;52;
2;Vitamina K;23μg;35;
2;Vitamina B1;0,58mg;48;
2;Vitamina B2;0,73mg;56;
2;Niacina;4,2mg;26;
2;Ácido pantotênico;2,3mg;46;
2;Vitamina B6;0,73mg;56;
2;Ácido fólico;112μg;47;
2;Vitamina B12;1,2μg;50;
2;Biotina;12μg;40;
2;Colina;150mg;27;
3;Colina;32 mg;50;
4;Carboidratos;24 g;12;
4;Proteínas;8 g;15;
4;Gorduras totais;4 g;11;
4;Gorduras Saturadas;2 g;10,8;
4;Gorduras Trans;0 g;**;
4;Fibras Alimentares;1,2 g;5;
4;Sódio;32 mg;2;
4;Fósforo;175 mg;25;
4;Magnésio;65 mg;25;
4;Zinco;2,1 mg;30;
4;Manganês;0,69 mg;30;
4;Cobre;270 mg;30;
4;Molibdênio;14 mcg;31;
4;Cromo;11 mcg;31;
4;Iodo;39 mcg;30;
4;Selênio;10 mcg;30;
4;Flúor;1,2 mg;30;
4;Vitamina A;180 mcg;30;
4;Vitamina B1;0,36 mg;30;
4;Vitamina B2;0,39 mg;30;
4;Vitamina PP;4,8 mg;30;
4;Vitamina B5;1,5 mg;30;
4;Vitamina B6;0,39 mg;30;
4;Vitamina B12;0,72 mg;30;
4;Biotina;9 mcg;30;
4;Ácido Fólico;72 mcg;30;
4;Vitamina C;14 mg;31;
4;Vitamina D;1,5 mg;30;
4;Vitamina E;3 mg;30;
4;Cálcio;344 mg;35;
4;Ferro;4,2 mg;30;
5;Proteína;4,4g/ colher medida;0;
5;Carboidrato;0g;0;
5;Lipídio;0,05;0;
6;L-Leucina;1.565 mg;0;
6;L-Lisina;511mg;0;
6;L-Valina;428mg;0;
6;L-Isoleucina;418mg;0;
6;L-Fenilalanina;373mg;0;
6;L-Treonina;353mg;0;
6;L-Histidina;149mg;0;
6;L-Metionina;149mg;0;
6;Triptofano;60mg;0;
;;;;
